GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
service,com.github.harshadnawathe.x.counterkt.counting,Search.ByNameAndCount,19,0,0,0,1,0,3,0,3,0
service,com.github.harshadnawathe.x.counterkt.counting,Search.Companion,47,0,8,0,8,0,6,0,2,0
service,com.github.harshadnawathe.x.counterkt.counting,Search.ByCount,10,0,0,0,1,0,2,0,2,0
service,com.github.harshadnawathe.x.counterkt.counting,Counter.Companion,0,62,0,12,0,6,0,8,0,2
service,com.github.harshadnawathe.x.counterkt.counting,Search.All,4,0,0,0,1,0,1,0,1,0
service,com.github.harshadnawathe.x.counterkt.counting,Search.ByName,13,0,0,0,1,0,2,0,2,0
service,com.github.harshadnawathe.x.counterkt.counting,CountingOperations.DefaultImpls,21,0,0,0,2,0,2,0,2,0
service,com.github.harshadnawathe.x.counterkt.counting,Counter,4,58,1,1,1,12,1,7,0,7
service,com.github.harshadnawathe.x.counterkt,CounterKtApplication,3,0,0,0,2,0,1,0,1,0
service,com.github.harshadnawathe.x.counterkt,ApplicationKt,12,0,0,0,2,0,1,0,1,0
service,com.github.harshadnawathe.x.counterkt.counting.http,CountingApi,195,0,12,0,23,0,15,0,9,0
service,com.github.harshadnawathe.x.counterkt.counting.http,CounterRequest,18,0,0,0,1,0,3,0,3,0
service,com.github.harshadnawathe.x.counterkt.counting.service,CountingService,227,0,14,0,27,0,15,0,8,0
